BUYER_COUNTY,BUYER_STATE,mme,year,population
SOUTHEAST FAIRBANKS,AK,1525.2130125000022,2011,7000.0
KODIAK ISLAND,AK,2254.1057288625057,2012,13710.0
KENAI PENINSULA,AK,27860.21979453788,2012,55474.0
MATANUSKA SUSITNA,AK,50748.799961325596,2012,89319.0
NORTH SLOPE,AK,2.57295,2012,9317.0
SITKA,AK,1992.1769481750025,2012,8909.0
JUNEAU,AK,7281.733273612614,2012,31636.0
SOUTHEAST FAIRBANKS,AK,1424.2448250000011,2012,7039.0
VALDEZ CORDOVA,AK,2515.4663250000062,2012,9614.0
FAIRBANKS NORTH STAR,AK,28170.02041248815,2012,97523.0
BETHEL,AK,44.58771000000001,2012,17184.0
ALEUTIANS WEST,AK,60.00157500000001,2012,5507.0
WRANGELL,AK,317.49516749999987,2012,
PETERSBURG,AK,522.449475,2012,3822.0
PRINCE OF WALES HYDER,AK,651.418324087501,2012,
KETCHIKAN GATEWAY,AK,4539.904336500018,2012,13525.0
HAINES,AK,188.52856499999996,2012,2500.0
ANCHORAGE,AK,117945.86340544035,2012,291470.0
DENALI,AK,3.027,2012,1917.0
COVINGTON,AL,11899.53358086268,2006,37441.0
PIKE,AL,5029.7978307250405,2006,31309.0
SAINT CLAIR,AL,18353.472037088202,2006,75948.0
BUTLER,AL,3828.924514087504,2006,20815.0
CLAY,AL,3244.174990000009,2006,14053.0
MOBILE,AL,107327.36613571746,2006,402916.0
FAYETTE,AL,3990.016522499989,2006,17767.0
CONECUH,AL,4305.366129500009,2006,13603.0
LOWNDES,AL,279.36997499999984,2006,12124.0
CLARKE,AL,5063.858757450038,2006,26755.0
PICKENS,AL,2510.686791362493,2006,20128.0
GREENE,AL,250.97604750000002,2006,9361.0
WASHINGTON,AL,950.4735225000003,2006,17705.0
CHOCTAW,AL,4168.146564949999,2006,14431.0
BALDWIN,AL,51039.829050328415,2006,168121.0
COOSA,AL,983.0942350000017,2006,11451.0
TUSCALOOSA,AL,40419.451317553314,2006,181383.0
MADISON,AL,94312.13622397196,2006,309170.0
PERRY,AL,1018.1518999999988,2006,10677.0
SHELBY,AL,76294.99336108023,2006,178841.0
CRENSHAW,AL,2077.159172500009,2006,13880.0
LAWRENCE,AL,9500.425592500122,2006,34028.0
CHEROKEE,AL,10096.068205000063,2006,25466.0
BIBB,AL,6278.096539500069,2006,22099.0
FRANKLIN,AL,13266.643450362604,2006,31134.0
CHILTON,AL,14249.522659812763,2006,42318.0
JACKSON,AL,22916.83779586288,2006,53483.0
WINSTON,AL,11258.600467950208,2006,24796.0
BLOUNT,AL,10417.469825087679,2006,55485.0
MARION,AL,15341.415466362898,2006,30779.0
AUTAUGA,AL,17100.542224750527,2006,51328.0
MACON,AL,1976.9133513625045,2006,22227.0
LAUDERDALE,AL,25413.75461000042,2006,90294.0
CHAMBERS,AL,13604.605537500276,2006,34945.0
WILCOX,AL,589.6356724999996,2006,12221.0
LIMESTONE,AL,18289.06109900037,2006,73651.0
DALE,AL,9251.30890008761,2006,49077.0
DALLAS,AL,8232.200157000174,2006,44323.0
HENRY,AL,2287.9833275000033,2006,16953.0
MONTGOMERY,AL,47333.518409179844,2006,227291.0
TALLADEGA,AL,21923.04172016331,2006,81991.0
HALE,AL,1749.9191577250033,2006,16427.0
TALLAPOOSA,AL,7213.788713725077,2006,41243.0
SUMTER,AL,925.0686875000008,2006,14059.0
GENEVA,AL,7448.286040225098,2006,26271.0
ETOWAH,AL,65594.54985760304,2006,103528.0
MARENGO,AL,3458.7578509000014,2006,21531.0
MONROE,AL,4820.302882499994,2006,23602.0
WALKER,AL,72509.60580487804,2006,68234.0
RANDOLPH,AL,4433.529784999995,2006,22695.0
ELMORE,AL,14626.803858263063,2006,75246.0
CULLMAN,AL,27960.221234363424,2006,79044.0
JEFFERSON,AL,232244.3496641584,2006,655893.0
BARBOUR,AL,5764.019122500056,2006,27861.0
CALHOUN,AL,45576.375991991576,2006,115388.0
MORGAN,AL,44156.720858727,2006,115491.0
LEE,AL,12147.421193675578,2006,129247.0
CLEBURNE,AL,1793.5858349999987,2006,14538.0
LAMAR,AL,3425.388889987502,2006,14816.0
DE KALB,AL,17888.295647950265,2006,68495.0
RUSSELL,AL,13772.389813587772,2006,50459.0
COLBERT,AL,29690.4863744506,2006,54413.0
COFFEE,AL,10784.062700225157,2006,46228.0
HOUSTON,AL,29875.25767622688,2006,95846.0
MARSHALL,AL,35396.88385685143,2006,88209.0
ESCAMBIA,AL,12538.987860725256,2006,37673.0
BULLOCK,AL,549.3548184999987,2006,10776.0
CHEROKEE,AL,13337.293379300081,2007,25553.0
JACKSON,AL,25200.033570362983,2007,53333.0
MACON,AL,2192.4559263625038,2007,21942.0
TUSCALOOSA,AL,45632.42745732922,2007,184350.0
ETOWAH,AL,81248.68240549159,2007,103893.0
AUTAUGA,AL,19152.43728865058,2007,52405.0
CHILTON,AL,15265.744780987752,2007,42881.0
MARSHALL,AL,39373.282677813935,2007,89605.0
CRENSHAW,AL,2453.027257500009,2007,13956.0
JEFFERSON,AL,253098.69927368805,2007,655163.0
TALLADEGA,AL,27520.76098476321,2007,82226.0
COFFEE,AL,12088.153191725154,2007,47458.0
WINSTON,AL,12900.791445000237,2007,24858.0
LOWNDES,AL,286.46486249999987,2007,11973.0
BULLOCK,AL,747.0804358625007,2007,11011.0
DE KALB,AL,21424.878830287675,2007,69450.0
CALHOUN,AL,56226.580392429845,2007,116211.0
MADISON,AL,123127.79494687542,2007,315859.0
ESCAMBIA,AL,13072.93009048782,2007,37839.0
ELMORE,AL,17853.36716096309,2007,77124.0
SHELBY,AL,79475.98017595598,2007,183491.0
SAINT CLAIR,AL,20352.13041095077,2007,79348.0
RANDOLPH,AL,5209.748090000013,2007,22662.0
CHAMBERS,AL,13984.61192386279,2007,34847.0
LAWRENCE,AL,9529.72250636262,2007,34293.0
MORGAN,AL,51234.159900002145,2007,116397.0
COVINGTON,AL,14586.954119225113,2007,37631.0
CULLMAN,AL,34198.798652175734,2007,79576.0
MARENGO,AL,3931.0297431625013,2007,21475.0
LEE,AL,14191.159131675659,2007,131934.0
TALLAPOOSA,AL,8830.061126225097,2007,41414.0
HALE,AL,2321.5757890875047,2007,16418.0
BUTLER,AL,4782.5303452249955,2007,20894.0
CHOCTAW,AL,4858.175187937518,2007,14216.0
LAMAR,AL,3614.696552375005,2007,14901.0
MONROE,AL,5461.110410225,2007,23437.0
FAYETTE,AL,4278.273800000009,2007,17523.0
CLARKE,AL,6270.4962001750855,2007,26436.0
RUSSELL,AL,16177.835879075315,2007,51074.0
HENRY,AL,2936.391360000007,2007,17108.0
PICKENS,AL,3456.646938999987,2007,19989.0
PIKE,AL,6927.333236587582,2007,31761.0
BARBOUR,AL,6377.610112487574,2007,27757.0
PERRY,AL,1276.9736238625014,2007,10774.0
HOUSTON,AL,35054.380768989686,2007,97727.0
CLEBURNE,AL,1972.8373200000049,2007,14799.0
GREENE,AL,448.1282649999993,2007,9385.0
SUMTER,AL,1318.576947500002,2007,13926.0
GENEVA,AL,6771.675810000082,2007,26322.0
WASHINGTON,AL,930.1063163624997,2007,17491.0
CLAY,AL,3829.993148862513,2007,14085.0
COOSA,AL,1203.5786225000024,2007,11439.0
WALKER,AL,79062.02546361566,2007,67695.0
CONECUH,AL,5453.305513500013,2007,13441.0
MONTGOMERY,AL,55378.49313121806,2007,227888.0
BALDWIN,AL,60323.05178149138,2007,172404.0
COLBERT,AL,32719.147863050624,2007,54486.0
BIBB,AL,7108.871080500064,2007,22438.0
MOBILE,AL,121170.93367360473,2007,405715.0
LAUDERDALE,AL,30886.64567022536,2007,91107.0
DALLAS,AL,11929.823358862752,2007,44194.0
DALE,AL,10493.278551450156,2007,49488.0
WILCOX,AL,752.8227466749997,2007,12208.0
LIMESTONE,AL,17869.218149362896,2007,76063.0
FRANKLIN,AL,17232.913662750274,2007,31004.0
BLOUNT,AL,10633.793008950131,2007,56240.0
MARION,AL,17726.765626362878,2007,30849.0
MARENGO,AL,4661.925376125023,2008,21331.0
CLEBURNE,AL,2148.0621750000023,2008,14874.0
TALLADEGA,AL,30223.356625438282,2008,82735.0
BIBB,AL,8592.971607500103,2008,22705.0
GREENE,AL,546.1803188624991,2008,9359.0
WALKER,AL,90340.67068166618,2008,67835.0
SAINT CLAIR,AL,22615.9044432258,2008,81223.0
AUTAUGA,AL,21785.835290388037,2008,53277.0
CRENSHAW,AL,2787.044915000016,2008,13922.0
SUMTER,AL,1432.5493100000056,2008,13882.0
FAYETTE,AL,4968.441345000016,2008,17541.0
ELMORE,AL,21185.53657692579,2008,77698.0
JACKSON,AL,24214.00905586296,2008,53525.0
WASHINGTON,AL,1073.435610675,2008,17496.0
CLAY,AL,4652.726585000025,2008,14161.0
COOSA,AL,915.1193565875025,2008,11493.0
TALLAPOOSA,AL,10328.894766762587,2008,41668.0
CULLMAN,AL,36166.49852226339,2008,80273.0
LOWNDES,AL,541.3928624999993,2008,11813.0
HALE,AL,2358.5889752250064,2008,16260.0
RANDOLPH,AL,5483.412160225028,2008,22946.0
BLOUNT,AL,11026.019067725183,2008,57055.0
PIKE,AL,8132.0468133126205,2008,32149.0
MONTGOMERY,AL,63605.15133258005,2008,227461.0
MADISON,AL,148603.43899502605,2008,323526.0
BUTLER,AL,5867.209062500047,2008,20949.0
DALLAS,AL,14590.61820336284,2008,44265.0
CHOCTAW,AL,5140.032936800024,2008,14114.0
LAMAR,AL,4300.639614537514,2008,14799.0
WINSTON,AL,14009.638130000205,2008,24696.0
MONROE,AL,6543.683015450043,2008,23393.0
CHEROKEE,AL,14371.870397475044,2008,25636.0
DALE,AL,11876.191552175187,2008,49871.0
DE KALB,AL,23249.607339987808,2008,70228.0
WILCOX,AL,974.855125,2008,12148.0
MORGAN,AL,58242.406792502275,2008,117694.0
CALHOUN,AL,59673.02132175504,2008,117274.0
PICKENS,AL,4127.075487362496,2008,19951.0
ETOWAH,AL,89648.58278762794,2008,104206.0
CHAMBERS,AL,16042.111992725278,2008,34563.0
PERRY,AL,1372.022523862503,2008,10722.0
LAWRENCE,AL,11712.104826587605,2008,34196.0
CONECUH,AL,6171.998848500034,2008,13388.0
CHILTON,AL,16460.1040466127,2008,43239.0
BULLOCK,AL,956.744614312502,2008,10953.0
MARION,AL,20565.590835000363,2008,30918.0
COVINGTON,AL,15956.115898587626,2008,37545.0
ESCAMBIA,AL,14679.3221192627,2008,37929.0
COFFEE,AL,13586.458572225049,2008,48516.0
MACON,AL,2454.461582500004,2008,21597.0
GENEVA,AL,7446.781797725113,2008,26646.0
HOUSTON,AL,39711.02787717759,2008,99183.0
BARBOUR,AL,7119.044022725103,2008,27808.0
BALDWIN,AL,66828.52321617889,2008,175827.0
FRANKLIN,AL,20569.76054235044,2008,31459.0
SHELBY,AL,78303.96078306845,2008,188534.0
LIMESTONE,AL,21007.94696108791,2008,78835.0
LAUDERDALE,AL,35232.342054588196,2008,92202.0
COLBERT,AL,37824.04797768848,2008,54473.0
CLARKE,AL,6588.210366125067,2008,26283.0
TUSCALOOSA,AL,52778.17119620461,2008,188093.0
JEFFERSON,AL,275982.55882727576,2008,656510.0
MOBILE,AL,132706.4564804327,2008,409196.0
MARSHALL,AL,44786.029022488896,2008,91072.0
LEE,AL,15980.179088175642,2008,134524.0
RUSSELL,AL,19021.881016988038,2008,51434.0
HENRY,AL,3129.6209250000097,2008,17129.0
LAWRENCE,AL,11750.87589090016,2009,34094.0
LIMESTONE,AL,21174.450633862805,2009,74076.0
LEE,AL,19436.54786703825,2009,130669.0
MADISON,AL,145452.33212858904,2009,314047.0
ESCAMBIA,AL,15402.684072037815,2009,37561.0
CLEBURNE,AL,2736.0445125000056,2009,14579.0
MOBILE,AL,143541.6139242568,2009,405331.0
MARENGO,AL,5309.233411575031,2009,21210.0
WILCOX,AL,1136.8007999999998,2009,12552.0
LAUDERDALE,AL,36792.59729771336,2009,88550.0
CONECUH,AL,6636.305223862535,2009,13114.0
ELMORE,AL,23500.109286788404,2009,76714.0
CHEROKEE,AL,16394.43298203755,2009,24427.0
BARBOUR,AL,7917.186180000133,2009,29663.0
PICKENS,AL,4599.782013862516,2009,19528.0
SAINT CLAIR,AL,24440.50849545064,2009,77585.0
TALLADEGA,AL,34624.58032770081,2009,80190.0
GENEVA,AL,9293.924655225172,2009,25800.0
BALDWIN,AL,76385.37560831678,2009,171997.0
CRENSHAW,AL,3148.80389250002,2009,13687.0
PERRY,AL,1484.6514788625018,2009,10689.0
TUSCALOOSA,AL,57595.468063803884,2009,178754.0
WINSTON,AL,15356.728185000213,2009,24190.0
HALE,AL,2540.4476700000087,2009,17994.0
CLARKE,AL,7651.943550900108,2009,26438.0
SHELBY,AL,85315.80457631813,2009,182996.0
COLBERT,AL,36736.2774890633,2009,54546.0
BULLOCK,AL,1421.6815200000033,2009,10917.0
MONTGOMERY,AL,65264.065557154914,2009,224369.0
BIBB,AL,8668.235531362612,2009,21464.0
MARION,AL,23347.57112636292,2009,29415.0
HENRY,AL,3514.0080150000126,2009,16580.0
AUTAUGA,AL,24439.98769338812,2009,49584.0
DALLAS,AL,14264.77459451281,2009,42748.0
WASHINGTON,AL,871.7374588499989,2009,17212.0
MARSHALL,AL,52972.66783110132,2009,87925.0
HOUSTON,AL,43027.783947714524,2009,97091.0
CHAMBERS,AL,16464.606574537775,2009,34704.0
FAYETTE,AL,5157.1352625000345,2009,17651.0
COVINGTON,AL,17503.630575450195,2009,36688.0
GREENE,AL,574.9711952249994,2009,9112.0
RANDOLPH,AL,6420.3724425000355,2009,22504.0
CLAY,AL,4836.376935000041,2009,13769.0
MACON,AL,2718.1760625000047,2009,22304.0
LOWNDES,AL,853.6433625,2009,12632.0
COOSA,AL,1037.4959250000022,2009,10777.0
CULLMAN,AL,38865.78637545071,2009,80630.0
CHILTON,AL,17669.297582925243,2009,42272.0
BUTLER,AL,6636.663427500078,2009,20189.0
FRANKLIN,AL,18764.937296588047,2009,30847.0
JACKSON,AL,31164.822393863087,2009,52898.0
WALKER,AL,95464.38413542844,2009,68880.0
RUSSELL,AL,20571.41142090051,2009,50029.0
JEFFERSON,AL,300777.96114536683,2009,662212.0
DE KALB,AL,26028.5115402001,2009,68183.0
LAMAR,AL,4911.224805900033,2009,14438.0
BLOUNT,AL,12821.94671636266,2009,56804.0
COFFEE,AL,14369.57990317514,2009,46802.0
ETOWAH,AL,95393.8161019907,2009,103150.0
CHOCTAW,AL,5125.220464537522,2009,14229.0
TALLAPOOSA,AL,10931.46873090015,2009,40778.0
DALE,AL,14692.996021125227,2009,48233.0
MONROE,AL,7334.821432500088,2009,22790.0
CALHOUN,AL,66364.38719775522,2009,112969.0
PIKE,AL,9258.430436362647,2009,30136.0
SUMTER,AL,1742.6689125000046,2009,13267.0
MORGAN,AL,62430.971448863835,2009,115197.0
CHOCTAW,AL,5948.738655000047,2010,14111.0
CLAY,AL,4433.261115000029,2010,14040.0
CHEROKEE,AL,18188.32967636272,2010,25700.0
MARION,AL,27710.281958850494,2010,30792.0
TALLADEGA,AL,38945.37592815092,2010,82347.0
GENEVA,AL,8524.758978862694,2010,26541.0
SAINT CLAIR,AL,26491.55284136333,2010,80658.0
LAMAR,AL,6273.340046362573,2010,14743.0
SHELBY,AL,88694.68210384334,2010,187880.0
HOUSTON,AL,52177.587169989354,2010,99029.0
BUTLER,AL,7285.018027500098,2010,20895.0
CHILTON,AL,18234.6009254252,2010,43121.0
MACON,AL,2877.625087500011,2010,21699.0
FRANKLIN,AL,21390.961335450615,2010,31383.0
ELMORE,AL,25948.45678361319,2010,77650.0
DALE,AL,18105.01305045048,2010,49730.0
PIKE,AL,9751.916805000144,2010,32147.0
MOBILE,AL,160441.30050879758,2010,408620.0
BLOUNT,AL,13645.768384087693,2010,56692.0
MARENGO,AL,6398.885754525075,2010,21296.0
DALLAS,AL,13622.154912450244,2010,44066.0
TALLAPOOSA,AL,11008.96778317517,2010,41534.0
JEFFERSON,AL,340625.47217709303,2010,656912.0
COFFEE,AL,17131.127122950133,2010,48349.0
GREENE,AL,733.9257374999994,2010,9255.0
CLARKE,AL,8976.019039312654,2010,26255.0
BULLOCK,AL,1981.900395000004,2010,10923.0
BIBB,AL,9217.115220000112,2010,22610.0
LAUDERDALE,AL,43138.56366611346,2010,91762.0
MONROE,AL,7088.979574087598,2010,23329.0
DE KALB,AL,31037.88423802505,2010,70038.0
RUSSELL,AL,21680.39115386318,2010,51663.0
MORGAN,AL,66961.86074295081,2010,117632.0
COLBERT,AL,39369.20361907554,2010,54446.0
CALHOUN,AL,73286.81987201847,2010,117149.0
SUMTER,AL,2013.862902000008,2010,13871.0
WINSTON,AL,16300.483875000158,2010,24687.0
WALKER,AL,99354.67999762867,2010,67612.0
COVINGTON,AL,20543.037046537644,2010,37608.0
RANDOLPH,AL,6559.789890000058,2010,22817.0
COOSA,AL,1312.8696899999975,2010,11470.0
LOWNDES,AL,1106.8292745375,2010,11731.0
HENRY,AL,3801.4044900000067,2010,17148.0
CULLMAN,AL,41407.0260600005,2010,79941.0
WASHINGTON,AL,1017.7835824874996,2010,17556.0
JACKSON,AL,34320.390889088085,2010,53386.0
MARSHALL,AL,62145.94854247601,2010,90867.0
FAYETTE,AL,5623.8980175000415,2010,17472.0
LEE,AL,20730.910601813124,2010,135010.0
CHAMBERS,AL,17417.905529437827,2010,34579.0
CLEBURNE,AL,2597.3591663625048,2010,14823.0
AUTAUGA,AL,26169.308157937987,2010,53155.0
MADISON,AL,174384.94998376045,2010,323080.0
BALDWIN,AL,92720.1412313691,2010,175791.0
BARBOUR,AL,8600.487532725187,2010,27699.0
PICKENS,AL,4603.29177000002,2010,19917.0
CRENSHAW,AL,3399.6149625000176,2010,13928.0
TUSCALOOSA,AL,56430.29779744057,2010,188331.0
WILCOX,AL,1077.9581024999993,2010,12012.0
LAWRENCE,AL,12126.650085450141,2010,34235.0
ESCAMBIA,AL,19566.88999886285,2010,37996.0
MONTGOMERY,AL,65600.21594066697,2010,228018.0
LIMESTONE,AL,25339.458218175278,2010,78614.0
HALE,AL,3228.277751362509,2010,16168.0
ETOWAH,AL,101022.99240221463,2010,104066.0
PERRY,AL,1372.7002800000016,2010,10684.0
CONECUH,AL,7116.74866886254,2010,13382.0
LAMAR,AL,7822.354159312614,2011,14644.0
BIBB,AL,10732.565910225141,2011,22746.0
CLEBURNE,AL,3046.828353862505,2011,14881.0
CHOCTAW,AL,6700.8939600000585,2011,13953.0
ETOWAH,AL,111308.54469472695,2011,104216.0
HOUSTON,AL,50627.004731251815,2011,100310.0
MARION,AL,34724.317556588336,2011,30771.0
WASHINGTON,AL,1043.435835675,2011,17487.0
PICKENS,AL,4715.018306362524,2011,19765.0
SHELBY,AL,95307.98912494394,2011,191705.0
FAYETTE,AL,6855.907061362568,2011,17361.0
COOSA,AL,1278.1478850000015,2011,11303.0
WILCOX,AL,1086.2755499999994,2011,11862.0
MARENGO,AL,7416.532290900098,2011,21130.0
CONECUH,AL,7520.15959181255,2011,13286.0
BULLOCK,AL,2419.820152500009,2011,10877.0
COVINGTON,AL,20687.100218624968,2011,37736.0
SUMTER,AL,2339.146845000009,2011,13758.0
HALE,AL,3934.258807500016,2011,15972.0
RUSSELL,AL,28591.80275681315,2011,52490.0
DALE,AL,19705.99171545048,2011,49920.0
GREENE,AL,1275.9052575000023,2011,9170.0
CALHOUN,AL,80762.31044704447,2011,117614.0
LOWNDES,AL,1354.5612609000032,2011,11538.0
BARBOUR,AL,9242.98662022522,2011,27546.0
JEFFERSON,AL,404258.9274375413,2011,657486.0
RANDOLPH,AL,7900.631506125083,2011,22838.0
DE KALB,AL,36443.499725399975,2011,70608.0
MORGAN,AL,79520.59402522622,2011,118521.0
WALKER,AL,103900.40089338935,2011,67308.0
ESCAMBIA,AL,18713.274746362764,2011,38081.0
COLBERT,AL,45453.635015438216,2011,54478.0
MOBILE,AL,184413.3013166136,2011,410520.0
CHAMBERS,AL,23379.94184636291,2011,34375.0
CLAY,AL,5531.5363463625645,2011,14010.0
CRENSHAW,AL,3699.543015000037,2011,13938.0
TUSCALOOSA,AL,56657.087744702665,2011,191489.0
BALDWIN,AL,107700.16589891967,2011,179523.0
CULLMAN,AL,46268.256001125264,2011,80246.0
JACKSON,AL,36090.978949087614,2011,53357.0
MARSHALL,AL,76467.46578656422,2011,92052.0
HENRY,AL,4157.097202500014,2011,17240.0
MACON,AL,3148.9619974875127,2011,21489.0
MONROE,AL,8188.43634000011,2011,23159.0
AUTAUGA,AL,28682.15885793764,2011,53944.0
TALLADEGA,AL,43728.5874772508,2011,82265.0
PERRY,AL,1555.5801863625024,2011,10620.0
SAINT CLAIR,AL,30956.217964087955,2011,82363.0
CLARKE,AL,10119.839377950173,2011,26046.0
LEE,AL,24056.72355862571,2011,137855.0
WINSTON,AL,18040.70294250009,2011,24593.0
ELMORE,AL,31638.542576550088,2011,78641.0
LAWRENCE,AL,15489.874143862617,2011,34250.0
MADISON,AL,211018.75790457558,2011,329299.0
FRANKLIN,AL,25028.42269158789,2011,31532.0
BUTLER,AL,9228.78793545014,2011,20860.0
CHEROKEE,AL,21144.36522750017,2011,25819.0
LAUDERDALE,AL,54832.08746587658,2011,92269.0
GENEVA,AL,9798.720829087766,2011,26646.0
PIKE,AL,11533.306924087654,2011,32471.0
CHILTON,AL,21731.331113175165,2011,43444.0
MONTGOMERY,AL,71857.56231885529,2011,228939.0
BLOUNT,AL,16131.819716587648,2011,57140.0
