BUYER_COUNTY,BUYER_STATE,mme,quantity,year
HAINES,AK,188.52856499999993,,2012
ANCHORAGE,AK,117945.86340544037,,2012
DENALI,AK,3.0269999999999997,,2012
COVINGTON,AL,11899.53358086268,,2006
PIKE,AL,5029.7978307250405,,2006
SAINT CLAIR,AL,18353.472037088202,,2006
BUTLER,AL,3828.924514087504,,2006
CLAY,AL,3244.174990000009,,2006
MOBILE,AL,107327.36613571746,,2006
FAYETTE,AL,3990.016522499989,,2006
CONECUH,AL,4305.366129500009,,2006
LOWNDES,AL,279.36997499999984,,2006
CLARKE,AL,5063.858757450038,,2006
PICKENS,AL,2510.686791362493,,2006
GREENE,AL,250.9760475,,2006
WASHINGTON,AL,950.4735225000003,,2006
CHOCTAW,AL,4168.146564949999,,2006
BALDWIN,AL,51039.829050328415,,2006
COOSA,AL,983.0942350000017,,2006
TUSCALOOSA,AL,40419.451317553314,,2006
MADISON,AL,94312.13622397196,,2006
PERRY,AL,1018.1518999999989,,2006
SHELBY,AL,76294.99336108023,,2006
CRENSHAW,AL,2077.159172500009,,2006
LAWRENCE,AL,9500.425592500122,,2006
CHEROKEE,AL,10096.068205000063,,2006
BIBB,AL,6278.0965395000685,,2006
FRANKLIN,AL,13266.643450362604,,2006
CHILTON,AL,14249.522659812763,,2006
JACKSON,AL,22916.837795862877,,2006
WINSTON,AL,11258.600467950208,,2006
BLOUNT,AL,10417.469825087679,,2006
MARION,AL,15341.415466362898,,2006
AUTAUGA,AL,17100.542224750527,,2006
MACON,AL,1976.9133513625045,,2006
LAUDERDALE,AL,25413.75461000042,,2006
CHAMBERS,AL,13604.605537500276,,2006
WILCOX,AL,589.6356724999996,,2006
LIMESTONE,AL,18289.06109900037,,2006
DALE,AL,9251.30890008761,,2006
DALLAS,AL,8232.200157000174,,2006
HENRY,AL,2287.9833275000033,,2006
MONTGOMERY,AL,47333.518409179844,,2006
TALLADEGA,AL,21923.04172016331,,2006
HALE,AL,1749.9191577250033,,2006
TALLAPOOSA,AL,7213.788713725077,,2006
SUMTER,AL,925.0686875000008,,2006
GENEVA,AL,7448.286040225098,,2006
ETOWAH,AL,65594.54985760304,,2006
MARENGO,AL,3458.7578509000014,,2006
MONROE,AL,4820.302882499994,,2006
WALKER,AL,72509.60580487804,,2006
RANDOLPH,AL,4433.529784999995,,2006
ELMORE,AL,14626.803858263063,,2006
CULLMAN,AL,27960.221234363424,,2006
JEFFERSON,AL,232244.34966415836,,2006
BARBOUR,AL,5764.019122500056,,2006
CALHOUN,AL,45576.375991991576,,2006
MORGAN,AL,44156.720858727,,2006
LEE,AL,12147.421193675578,,2006
CLEBURNE,AL,1793.5858349999987,,2006
LAMAR,AL,3425.388889987502,,2006
DE KALB,AL,17888.295647950265,,2006
RUSSELL,AL,13772.389813587772,,2006
COLBERT,AL,29690.4863744506,,2006
COFFEE,AL,10784.062700225157,,2006
HOUSTON,AL,29875.257676226876,,2006
MARSHALL,AL,35396.88385685143,,2006
ESCAMBIA,AL,12538.987860725256,,2006
BULLOCK,AL,549.3548184999987,,2006
CHEROKEE,AL,13337.293379300081,,2007
JACKSON,AL,25200.033570362983,,2007
MACON,AL,2192.4559263625038,,2007
TUSCALOOSA,AL,45632.42745732922,,2007
ETOWAH,AL,81248.68240549159,,2007
AUTAUGA,AL,19152.43728865058,,2007
CHILTON,AL,15265.744780987752,,2007
MARSHALL,AL,39373.282677813935,,2007
CRENSHAW,AL,2453.027257500009,,2007
JEFFERSON,AL,253098.69927368805,,2007
TALLADEGA,AL,27520.76098476321,,2007
COFFEE,AL,12088.153191725154,,2007
WINSTON,AL,12900.791445000237,,2007
LOWNDES,AL,286.46486249999987,,2007
BULLOCK,AL,747.0804358625007,,2007
DE KALB,AL,21424.878830287675,,2007
CALHOUN,AL,56226.580392429845,,2007
MADISON,AL,123127.79494687542,,2007
ESCAMBIA,AL,13072.93009048782,,2007
ELMORE,AL,17853.36716096309,,2007
SHELBY,AL,79475.98017595598,,2007
SAINT CLAIR,AL,20352.13041095077,,2007
RANDOLPH,AL,5209.748090000013,,2007
CHAMBERS,AL,13984.61192386279,,2007
LAWRENCE,AL,9529.722506362621,,2007
MORGAN,AL,51234.159900002145,,2007
COVINGTON,AL,14586.954119225113,,2007
CULLMAN,AL,34198.798652175734,,2007
MARENGO,AL,3931.0297431625013,,2007
LEE,AL,14191.159131675659,,2007
TALLAPOOSA,AL,8830.061126225097,,2007
HALE,AL,2321.5757890875047,,2007
BUTLER,AL,4782.5303452249955,,2007
CHOCTAW,AL,4858.175187937518,,2007
LAMAR,AL,3614.696552375005,,2007
MONROE,AL,5461.110410225,,2007
FAYETTE,AL,4278.273800000009,,2007
CLARKE,AL,6270.4962001750855,,2007
RUSSELL,AL,16177.835879075315,,2007
HENRY,AL,2936.391360000007,,2007
PICKENS,AL,3456.646938999987,,2007
PIKE,AL,6927.333236587582,,2007
BARBOUR,AL,6377.610112487574,,2007
PERRY,AL,1276.9736238625014,,2007
HOUSTON,AL,35054.380768989686,,2007
CLEBURNE,AL,1972.8373200000049,,2007
GREENE,AL,448.1282649999993,,2007
SUMTER,AL,1318.576947500002,,2007
GENEVA,AL,6771.675810000082,,2007
WASHINGTON,AL,930.1063163624997,,2007
CLAY,AL,3829.993148862513,,2007
COOSA,AL,1203.5786225000024,,2007
WALKER,AL,79062.02546361566,,2007
CONECUH,AL,5453.305513500013,,2007
MONTGOMERY,AL,55378.49313121806,,2007
BALDWIN,AL,60323.051781491384,,2007
COLBERT,AL,32719.147863050624,,2007
BIBB,AL,7108.871080500064,,2007
MOBILE,AL,121170.93367360471,,2007
LAUDERDALE,AL,30886.645670225356,,2007
DALLAS,AL,11929.823358862752,,2007
DALE,AL,10493.278551450156,,2007
WILCOX,AL,752.8227466749997,,2007
LIMESTONE,AL,17869.218149362896,,2007
FRANKLIN,AL,17232.913662750274,,2007
BLOUNT,AL,10633.793008950131,,2007
MARION,AL,17726.765626362878,,2007
MARENGO,AL,4661.925376125023,,2008
CLEBURNE,AL,2148.0621750000023,,2008
TALLADEGA,AL,30223.356625438282,,2008
BIBB,AL,8592.971607500103,,2008
GREENE,AL,546.1803188624991,,2008
WALKER,AL,90340.67068166618,,2008
SAINT CLAIR,AL,22615.9044432258,,2008
AUTAUGA,AL,21785.835290388033,,2008
CRENSHAW,AL,2787.044915000016,,2008
SUMTER,AL,1432.5493100000056,,2008
FAYETTE,AL,4968.441345000016,,2008
ELMORE,AL,21185.53657692579,,2008
JACKSON,AL,24214.00905586296,,2008
WASHINGTON,AL,1073.435610675,,2008
CLAY,AL,4652.726585000025,,2008
COOSA,AL,915.1193565875025,,2008
TALLAPOOSA,AL,10328.894766762587,,2008
CULLMAN,AL,36166.49852226339,,2008
LOWNDES,AL,541.3928624999993,,2008
HALE,AL,2358.5889752250064,,2008
RANDOLPH,AL,5483.412160225028,,2008
BLOUNT,AL,11026.019067725183,,2008
PIKE,AL,8132.0468133126205,,2008
MONTGOMERY,AL,63605.15133258005,,2008
MADISON,AL,148603.43899502605,,2008
BUTLER,AL,5867.209062500047,,2008
DALLAS,AL,14590.618203362841,,2008
CHOCTAW,AL,5140.032936800024,,2008
LAMAR,AL,4300.639614537514,,2008
WINSTON,AL,14009.638130000205,,2008
MONROE,AL,6543.683015450043,,2008
CHEROKEE,AL,14371.870397475044,,2008
DALE,AL,11876.191552175187,,2008
DE KALB,AL,23249.607339987808,,2008
WILCOX,AL,974.855125,,2008
MORGAN,AL,58242.40679250228,,2008
CALHOUN,AL,59673.02132175504,,2008
PICKENS,AL,4127.075487362496,,2008
ETOWAH,AL,89648.58278762794,,2008
CHAMBERS,AL,16042.111992725278,,2008
PERRY,AL,1372.022523862503,,2008
LAWRENCE,AL,11712.104826587605,,2008
CONECUH,AL,6171.998848500034,,2008
CHILTON,AL,16460.1040466127,,2008
BULLOCK,AL,956.744614312502,,2008
MARION,AL,20565.590835000363,,2008
COVINGTON,AL,15956.115898587626,,2008
ESCAMBIA,AL,14679.3221192627,,2008
COFFEE,AL,13586.458572225049,,2008
MACON,AL,2454.461582500004,,2008
GENEVA,AL,7446.781797725113,,2008
HOUSTON,AL,39711.027877177585,,2008
BARBOUR,AL,7119.044022725103,,2008
BALDWIN,AL,66828.52321617889,,2008
FRANKLIN,AL,20569.76054235044,,2008
SHELBY,AL,78303.96078306845,,2008
LIMESTONE,AL,21007.94696108791,,2008
LAUDERDALE,AL,35232.342054588196,,2008
COLBERT,AL,37824.04797768848,,2008
CLARKE,AL,6588.210366125067,,2008
TUSCALOOSA,AL,52778.17119620461,,2008
JEFFERSON,AL,275982.55882727576,,2008
MOBILE,AL,132706.4564804327,,2008
MARSHALL,AL,44786.029022488896,,2008
LEE,AL,15980.179088175642,,2008
RUSSELL,AL,19021.881016988038,,2008
HENRY,AL,3129.6209250000097,,2008
LAWRENCE,AL,11750.875890900159,,2009
LIMESTONE,AL,21174.450633862805,,2009
LEE,AL,19436.54786703825,,2009
MADISON,AL,145452.33212858904,,2009
ESCAMBIA,AL,15402.684072037815,,2009
CLEBURNE,AL,2736.0445125000056,,2009
MOBILE,AL,143541.6139242568,,2009
MARENGO,AL,5309.233411575031,,2009
WILCOX,AL,1136.8007999999998,,2009
LAUDERDALE,AL,36792.597297713364,,2009
CONECUH,AL,6636.305223862535,,2009
ELMORE,AL,23500.109286788404,,2009
CHEROKEE,AL,16394.43298203755,,2009
BARBOUR,AL,7917.186180000133,,2009
PICKENS,AL,4599.782013862516,,2009
SAINT CLAIR,AL,24440.50849545064,,2009
TALLADEGA,AL,34624.58032770081,,2009
GENEVA,AL,9293.924655225172,,2009
BALDWIN,AL,76385.37560831678,,2009
CRENSHAW,AL,3148.80389250002,,2009
PERRY,AL,1484.6514788625018,,2009
TUSCALOOSA,AL,57595.468063803884,,2009
WINSTON,AL,15356.728185000213,,2009
HALE,AL,2540.4476700000087,,2009
CLARKE,AL,7651.943550900108,,2009
SHELBY,AL,85315.80457631813,,2009
COLBERT,AL,36736.2774890633,,2009
BULLOCK,AL,1421.6815200000033,,2009
MONTGOMERY,AL,65264.065557154914,,2009
BIBB,AL,8668.235531362612,,2009
MARION,AL,23347.571126362916,,2009
HENRY,AL,3514.0080150000126,,2009
AUTAUGA,AL,24439.98769338812,,2009
DALLAS,AL,14264.77459451281,,2009
WASHINGTON,AL,871.737458849999,,2009
MARSHALL,AL,52972.66783110132,,2009
HOUSTON,AL,43027.783947714524,,2009
CHAMBERS,AL,16464.606574537775,,2009
FAYETTE,AL,5157.1352625000345,,2009
COVINGTON,AL,17503.630575450195,,2009
GREENE,AL,574.9711952249994,,2009
RANDOLPH,AL,6420.3724425000355,,2009
CLAY,AL,4836.376935000041,,2009
MACON,AL,2718.1760625000047,,2009
LOWNDES,AL,853.6433625,,2009
COOSA,AL,1037.4959250000022,,2009
CULLMAN,AL,38865.78637545071,,2009
CHILTON,AL,17669.297582925243,,2009
BUTLER,AL,6636.663427500078,,2009
FRANKLIN,AL,18764.937296588047,,2009
JACKSON,AL,31164.822393863087,,2009
WALKER,AL,95464.38413542844,,2009
RUSSELL,AL,20571.41142090051,,2009
JEFFERSON,AL,300777.96114536683,,2009
DE KALB,AL,26028.5115402001,,2009
LAMAR,AL,4911.224805900033,,2009
BLOUNT,AL,12821.94671636266,,2009
COFFEE,AL,14369.579903175141,,2009
ETOWAH,AL,95393.8161019907,,2009
CHOCTAW,AL,5125.220464537522,,2009
TALLAPOOSA,AL,10931.46873090015,,2009
DALE,AL,14692.996021125227,,2009
MONROE,AL,7334.821432500088,,2009
CALHOUN,AL,66364.38719775522,,2009
PIKE,AL,9258.430436362647,,2009
SUMTER,AL,1742.6689125000046,,2009
MORGAN,AL,62430.971448863835,,2009
CHOCTAW,AL,5948.738655000047,,2010
CLAY,AL,4433.261115000029,,2010
CHEROKEE,AL,18188.32967636272,,2010
MARION,AL,27710.281958850494,,2010
TALLADEGA,AL,38945.37592815092,,2010
GENEVA,AL,8524.758978862694,,2010
SAINT CLAIR,AL,26491.55284136333,,2010
LAMAR,AL,6273.340046362573,,2010
SHELBY,AL,88694.68210384334,,2010
HOUSTON,AL,52177.587169989354,,2010
BUTLER,AL,7285.018027500098,,2010
CHILTON,AL,18234.6009254252,,2010
MACON,AL,2877.625087500011,,2010
FRANKLIN,AL,21390.961335450615,,2010
ELMORE,AL,25948.45678361319,,2010
DALE,AL,18105.01305045048,,2010
PIKE,AL,9751.916805000144,,2010
MOBILE,AL,160441.30050879758,,2010
BLOUNT,AL,13645.768384087693,,2010
MARENGO,AL,6398.885754525075,,2010
DALLAS,AL,13622.154912450244,,2010
TALLAPOOSA,AL,11008.96778317517,,2010
JEFFERSON,AL,340625.47217709303,,2010
COFFEE,AL,17131.127122950133,,2010
GREENE,AL,733.9257374999994,,2010
CLARKE,AL,8976.019039312654,,2010
BULLOCK,AL,1981.900395000004,,2010
BIBB,AL,9217.115220000112,,2010
LAUDERDALE,AL,43138.56366611346,,2010
MONROE,AL,7088.979574087598,,2010
DE KALB,AL,31037.88423802505,,2010
RUSSELL,AL,21680.39115386318,,2010
MORGAN,AL,66961.86074295081,,2010
COLBERT,AL,39369.20361907554,,2010
CALHOUN,AL,73286.81987201847,,2010
SUMTER,AL,2013.8629020000076,,2010
WINSTON,AL,16300.483875000158,,2010
WALKER,AL,99354.67999762867,,2010
COVINGTON,AL,20543.037046537644,,2010
RANDOLPH,AL,6559.789890000058,,2010
COOSA,AL,1312.8696899999975,,2010
LOWNDES,AL,1106.8292745375,,2010
HENRY,AL,3801.4044900000067,,2010
CULLMAN,AL,41407.0260600005,,2010
WASHINGTON,AL,1017.7835824874996,,2010
JACKSON,AL,34320.390889088085,,2010
MARSHALL,AL,62145.94854247601,,2010
FAYETTE,AL,5623.8980175000415,,2010
LEE,AL,20730.910601813124,,2010
CHAMBERS,AL,17417.905529437827,,2010
CLEBURNE,AL,2597.3591663625048,,2010
AUTAUGA,AL,26169.308157937987,,2010
MADISON,AL,174384.94998376045,,2010
BALDWIN,AL,92720.1412313691,,2010
BARBOUR,AL,8600.487532725187,,2010
PICKENS,AL,4603.29177000002,,2010
CRENSHAW,AL,3399.6149625000176,,2010
TUSCALOOSA,AL,56430.29779744057,,2010
WILCOX,AL,1077.9581024999993,,2010
LAWRENCE,AL,12126.65008545014,,2010
ESCAMBIA,AL,19566.88999886285,,2010
MONTGOMERY,AL,65600.21594066697,,2010
LIMESTONE,AL,25339.458218175278,,2010
HALE,AL,3228.277751362509,,2010
ETOWAH,AL,101022.99240221463,,2010
PERRY,AL,1372.7002800000016,,2010
CONECUH,AL,7116.74866886254,,2010
LAMAR,AL,7822.354159312614,,2011
BIBB,AL,10732.565910225141,,2011
CLEBURNE,AL,3046.828353862505,,2011
CHOCTAW,AL,6700.893960000058,,2011
ETOWAH,AL,111308.54469472695,,2011
HOUSTON,AL,50627.004731251815,,2011
MARION,AL,34724.317556588336,,2011
WASHINGTON,AL,1043.435835675,,2011
PICKENS,AL,4715.018306362524,,2011
SHELBY,AL,95307.98912494394,,2011
FAYETTE,AL,6855.907061362568,,2011
COOSA,AL,1278.1478850000015,,2011
WILCOX,AL,1086.2755499999994,,2011
MARENGO,AL,7416.532290900098,,2011
CONECUH,AL,7520.15959181255,,2011
BULLOCK,AL,2419.820152500009,,2011
COVINGTON,AL,20687.10021862497,,2011
SUMTER,AL,2339.1468450000093,,2011
HALE,AL,3934.258807500016,,2011
RUSSELL,AL,28591.80275681315,,2011
DALE,AL,19705.99171545048,,2011
GREENE,AL,1275.9052575000023,,2011
CALHOUN,AL,80762.31044704447,,2011
LOWNDES,AL,1354.5612609000032,,2011
BARBOUR,AL,9242.98662022522,,2011
JEFFERSON,AL,404258.9274375413,,2011
RANDOLPH,AL,7900.631506125083,,2011
DE KALB,AL,36443.499725399975,,2011
MORGAN,AL,79520.59402522622,,2011
WALKER,AL,103900.40089338935,,2011
ESCAMBIA,AL,18713.274746362764,,2011
COLBERT,AL,45453.635015438216,,2011
MOBILE,AL,184413.3013166136,,2011
CHAMBERS,AL,23379.94184636291,,2011
CLAY,AL,5531.5363463625645,,2011
CRENSHAW,AL,3699.543015000037,,2011
TUSCALOOSA,AL,56657.087744702665,,2011
BALDWIN,AL,107700.16589891967,,2011
CULLMAN,AL,46268.25600112526,,2011
JACKSON,AL,36090.978949087614,,2011
MARSHALL,AL,76467.46578656422,,2011
HENRY,AL,4157.097202500014,,2011
MACON,AL,3148.9619974875127,,2011
MONROE,AL,8188.43634000011,,2011
AUTAUGA,AL,28682.158857937637,,2011
TALLADEGA,AL,43728.5874772508,,2011
PERRY,AL,1555.5801863625024,,2011
SAINT CLAIR,AL,30956.217964087955,,2011
CLARKE,AL,10119.839377950173,,2011
LEE,AL,24056.72355862571,,2011
WINSTON,AL,18040.70294250009,,2011
ELMORE,AL,31638.54257655009,,2011
LAWRENCE,AL,15489.874143862617,,2011
MADISON,AL,211018.75790457556,,2011
FRANKLIN,AL,25028.42269158789,,2011
BUTLER,AL,9228.78793545014,,2011
CHEROKEE,AL,21144.36522750017,,2011
LAUDERDALE,AL,54832.08746587658,,2011
GENEVA,AL,9798.720829087766,,2011
PIKE,AL,11533.306924087654,,2011
CHILTON,AL,21731.331113175165,,2011
MONTGOMERY,AL,71857.56231885529,,2011
BLOUNT,AL,16131.819716587648,,2011
COFFEE,AL,19775.63471636268,,2011
DALLAS,AL,14112.426709725205,,2011
TALLAPOOSA,AL,13001.48137886267,,2011
LIMESTONE,AL,31468.27617772521,,2011
PIKE,AL,11837.41435226267,,2012
ELMORE,AL,35330.0428620003,,2012
DE KALB,AL,42960.008801287746,,2012
SHELBY,AL,104473.65259695712,,2012
CLEBURNE,AL,3372.8372213625153,,2012
WASHINGTON,AL,1084.4530125000024,,2012
ESCAMBIA,AL,17929.682310225293,,2012
FRANKLIN,AL,28422.75787271269,,2012
CLARKE,AL,11857.815008175181,,2012
MARSHALL,AL,88101.04985224131,,2012
SUMTER,AL,2546.8835700000072,,2012
CHOCTAW,AL,7934.546092612578,,2012
LAMAR,AL,7658.858055450119,,2012
LOWNDES,AL,1277.3772652125024,,2012
JACKSON,AL,38281.869522712215,,2012
CULLMAN,AL,48024.926238599925,,2012
LIMESTONE,AL,36121.59763522515,,2012
LAUDERDALE,AL,51603.39739496349,,2012
JEFFERSON,AL,393767.3643556979,,2012
WINSTON,AL,18119.789306025148,,2012
MORGAN,AL,90385.1390365904,,2012
PERRY,AL,1748.5096275000028,,2012
MONROE,AL,8458.772737500101,,2012
COLBERT,AL,46857.43802407546,,2012
AUTAUGA,AL,30312.245596800167,,2012
FAYETTE,AL,8049.841335000061,,2012
MOBILE,AL,224370.85422370367,,2012
CRENSHAW,AL,4222.298838862542,,2012
TALLAPOOSA,AL,14188.656042262719,,2012
CHAMBERS,AL,20636.66994750032,,2012
RUSSELL,AL,35356.46796678806,,2012
DALE,AL,18810.0037959004,,2012
BUTLER,AL,9417.761232037648,,2012
CHEROKEE,AL,23015.14158000024,,2012
MARION,AL,36862.86457931289,,2012
LAWRENCE,AL,18056.364472500256,,2012
CONECUH,AL,8843.059811812593,,2012
TALLADEGA,AL,46591.09438743816,,2012
CHILTON,AL,24499.144937475117,,2012
COFFEE,AL,20508.22495158774,,2012
HOUSTON,AL,49915.57687226401,,2012
MADISON,AL,251349.24411095786,,2012
GENEVA,AL,10176.627517500212,,2012
GREENE,AL,1175.0025825000016,,2012
BARBOUR,AL,10364.46627795016,,2012
BALDWIN,AL,128853.8601562586,,2012
WALKER,AL,102990.30582723985,,2012
MONTGOMERY,AL,73469.1759220178,,2012
CALHOUN,AL,90543.82948316989,,2012
COVINGTON,AL,21573.633739087523,,2012
BLOUNT,AL,17702.56696136272,,2012
RANDOLPH,AL,9989.7404827126,,2012
HALE,AL,4465.592317725021,,2012
MACON,AL,3844.3071052125188,,2012
HENRY,AL,4777.403936362519,,2012
ETOWAH,AL,120654.59053316596,,2012
BULLOCK,AL,2551.0831652250063,,2012
DALLAS,AL,15074.96596608792,,2012
MARENGO,AL,7946.497885425101,,2012
WILCOX,AL,1203.181050000002,,2012
TUSCALOOSA,AL,73729.68563741683,,2012
PICKENS,AL,5779.787719762548,,2012
CLAY,AL,6418.337790000074,,2012
SAINT CLAIR,AL,35592.67049658793,,2012
BIBB,AL,11418.213273862611,,2012
LEE,AL,25157.283182476,,2012
COOSA,AL,1292.1801900000028,,2012
SEBASTIAN,AR,83682.8486089546,40139.0,2006
POINSETT,AR,7224.197673000109,4514.0,2006
BOONE,AR,10420.774393862745,6635.0,2006
CRITTENDEN,AR,11768.271940000252,9746.0,2006
BENTON,AR,45191.330190365996,33415.0,2006
WASHINGTON,AR,40802.680553227976,29431.0,2006
JOHNSON,AR,5671.804527000064,4930.0,2006
SEARCY,AR,1884.1118265,1136.0,2006
POLK,AR,8876.373780000125,6614.0,2006
PIKE,AR,3883.847317950018,1761.0,2006
LEE,AR,1278.4188375000006,988.0,2006
SAINT FRANCIS,AR,3476.672824999981,2921.0,2006
JACKSON,AR,2929.297492499997,2071.0,2006
WHITE,AR,13045.109623450393,9661.0,2006
MONROE,AR,1245.0403305000054,851.0,2006
CRAWFORD,AR,22073.505155225717,15941.0,2006
SALINE,AR,24748.0176664512,17126.0,2006
CARROLL,AR,8417.327154862676,5424.0,2006
PULASKI,AR,86556.42241396251,72030.0,2006
INDEPENDENCE,AR,11951.170671000169,7713.0,2006
CROSS,AR,2744.131547999988,2133.0,2006
